image_key,CONCEPT,PCguess,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth
044_0325,Solenosmilia matrix,5,28/11/2018 21:54,IN2018_V06_044,4 - fished?,1c,Sisters,72,147.2525244,-44.26462276,Pebble - gravel,325,5.551169512,70,QT,1,70,NA,1246.3
117_0048,Solenosmilia matrix,25,9/12/2018 6:29,IN2018_V06_117,1,1,Hill U,34,147.1787866,-44.32064378,Coral reef substrate,48,3.004713695,31,QT,1,31,NA,1185.26
118_0150,Solenosmilia matrix,40,9/12/2018 8:42,IN2018_V06_118,1,1,z34,44,147.1754737,-44.28016479,Coral reef substrate,150,2.59726423,29,QT,1,29,NA,1321.54
052_0032,Solenosmilia matrix,100,30/11/2018 6:28,IN2018_V06_052,1,1,Hill K1,48,147.3859382,-44.29327116,Coral reef substrate,32,14.83272736,15,QT,1,15,NA,1257.229545
063_0107,Solenosmilia matrix,100,1/12/2018 13:18,IN2018_V06_063,1a,1a,z16,43,147.0675638,-44.28752628,Coral reef substrate,107,12.7567623,69,QT-2,2,5,NA,1141.3
043_0062,Enallopsammia matrix,15,28/11/2018 18:51,IN2018_V06_043,4 - fished?,1c,Sisters,83,147.2524222,-44.27750278,cobble - boulder,62,6.148728594,26,QT,1,26,NA,918.556
064_0114,Solenosmilia matrix,100,1/12/2018 15:50,IN2018_V06_064,1a,1a,z16,37,147.0641194,-44.29269093,Coral reef substrate,114,9.861622264,55,QT-2,2,23,NA,1197.38125
031_0045,Solenosmilia matrix,95,26/11/2018 23:22,IN2018_V06_031,1,1,Hill U,41,147.1838285,-44.32079324,Coral reef substrate,45,8.928974683,15,QT,1,15,NA,1186.252285
043_0157,Solenosmilia matrix,5,28/11/2018 18:59,IN2018_V06_043,4 - fished?,1c,Sisters,83,147.2541658,-44.27951798,Rock,157,13.07407472,94,QT-2,2,70,NA,1047.768571
063_0372,Solenosmilia matrix,25,1/12/2018 13:41,IN2018_V06_063,1a,1a,z16,43,147.0659251,-44.28209581,Coral rubble,372,1.577847503,62,QT-2,2,30,NA,1409.3
041_0114,Solenosmilia matrix,100,28/11/2018 13:23,IN2018_V06_041,1,1,z16,50,147.0654128,-44.28835602,Coral reef substrate,114,14.02856799,81,QT-2,2,17,NA,1164.03
064_0234,Solenosmilia matrix,10,1/12/2018 16:01,IN2018_V06_064,1a,1a,z16,37,147.0607908,-44.29411286,Coral reef substrate,234,8.108854236,10,QT,1,10,NA,1397.171429
082_0255,Solenosmilia matrix,25,5/12/2018 11:46,IN2018_V06_082,1,1,Hill K1,41,147.3929517,-44.29758296,Coral reef substrate,255,2.04818746,2,QT,1,2,NA,1491.309375
114_0326,Solenosmilia matrix,10,9/12/2018 0:36,IN2018_V06_114,1a,1a,z16,35,147.072625,-44.29795,Coral rubble,326,3.433538586,8,QT,1,8,NA,NA
082_0134,Solenosmilia matrix,60,5/12/2018 11:36,IN2018_V06_082,1,1,Hill K1,41,147.3895739,-44.29576596,Coral reef substrate,134,4.840743629,39,QT,1,39,NA,1429
093_0124,Solenosmilia matrix,2,6/12/2018 20:19,IN2018_V06_093,1b,1b,Fang,20,146.1632792,-44.20561176,Rock,124,5.039885811,23,QT,1,23,NA,981.4
042_0582,Solenosmilia matrix,60,28/11/2018 16:51,IN2018_V06_042,fished,1c,Sisters,81,147.2621284,-44.26591713,Coral reef substrate,582,12.46892851,31,QT,1,31,NA,1276.5475
114_0197,Solenosmilia matrix,95,9/12/2018 0:25,IN2018_V06_114,1a,1a,z16,35,147.0706972,-44.2956,Coral reef substrate,197,2.045111645,2,QT,1,2,NA,NA
051_0046,Solenosmilia matrix,100,30/11/2018 2:26,IN2018_V06_051,1,1,Hill K1,80,147.3872187,-44.29313352,Coral reef substrate,46,2.802396529,1,QT,1,1,NA,1239.0175
085_0041,Solenosmilia matrix,1,6/12/2018 2:38,IN2018_V06_085,1b,1b,Main Matt,75,146.1900996,-44.2154373,Coral rubble,41,2.204657766,31,QT,1,31,NA,673.2333333
